epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,19446.6,1.55414,1.91875,1.35299,0.60347,0.67774,0.66054,0.42896,1.26376,1.08483,1.22885,0.001288,0.001288,0.001288
90,19663.5,1.56796,1.94048,1.36839,0.61105,0.66156,0.65757,0.4304,1.26576,1.07916,1.23014,0.001189,0.001189,0.001189
91,19879.3,1.51568,1.83332,1.36633,0.61176,0.6792,0.66432,0.4326,1.26463,1.08101,1.22908,0.00109,0.00109,0.00109
92,20093.9,1.49005,1.77904,1.35352,0.59344,0.6806,0.66255,0.43028,1.26575,1.08607,1.23074,0.000991,0.000991,0.000991
93,20308.8,1.48797,1.78792,1.35324,0.59239,0.67606,0.66014,0.42996,1.26579,1.09058,1.23056,0.000892,0.000892,0.000892
94,20523.2,1.47665,1.78086,1.33991,0.57957,0.67713,0.65609,0.42691,1.26537,1.09794,1.23105,0.000793,0.000793,0.000793
95,20737.6,1.48029,1.7742,1.34195,0.57392,0.66885,0.63508,0.41309,1.26485,1.11378,1.23126,0.000694,0.000694,0.000694
96,20952.3,1.46941,1.74603,1.33351,0.5803,0.65198,0.63478,0.41303,1.26479,1.11571,1.23174,0.000595,0.000595,0.000595
97,21167.3,1.45665,1.7346,1.32858,0.58425,0.64452,0.63073,0.41001,1.26671,1.12167,1.2325,0.000496,0.000496,0.000496
98,21382.1,1.46454,1.76137,1.3348,0.57651,0.64455,0.61999,0.40553,1.26743,1.13538,1.23276,0.000397,0.000397,0.000397
99,21596.6,1.45209,1.71861,1.32215,0.57963,0.62832,0.61742,0.40323,1.26848,1.13549,1.23351,0.000298,0.000298,0.000298
100,21811.4,1.45486,1.7427,1.32882,0.57824,0.62462,0.6143,0.4004,1.26916,1.13762,1.23415,0.000199,0.000199,0.000199
